Title,Year,Directors,Rating,WatchedDate,Review
The Human Condition II: Road to Eternity,1959,Masaki Kobayashi,5.0,2022-03-20,"Kaji's rough struggle to do good increasingly makes him pay the price. His admirable character seems to always find his way up ranks, but he just never gets quite there. Man's ugly mindset keeps running one step ahead of him, but he does not back down. Again, wartime highlights the ugliness within us, and this time Kaji is right in the middle of it."
The Human Condition,1959,Masaki Kobayashi,5.0,2023-04-04,Great film. See my reviews of the three separate releases.
The Human Condition I: No Greater Love,1959,Masaki Kobayashi,5.0,2025-10-22,"What setting could be more appropriate to make a film about the human condition than that of war? This major source of (ultimately) unnecessary suffering (for all) really highlights what it means to be human. Kaji's rare presence of being a humanist truly provides an interesting contrast with most other people's racist and tribal character, sharpening the lens through which we analyze our species' nature. Great film."
Miller's Crossing,1990,"Joel Coen,Ethan Coen",4.0,2022-06-08,"Superbly crafted film. It's just that weird atmosphere, I love it. The dark, gritty photography and fantastic decoration and dressing are amazing. The music, the use of lighting... Aesthetically this is all-round great. The story is complex and interesting, the characters are fun, although I have to say the comical bits had 50/50 hits and misses with me."
Harakiri,1962,Masaki Kobayashi,5.0,2023-02-04,"An anti-Samurai masterpiece. There's nothing as powerful as a man who has nothing to lose, but great things to tell. Hanshirō's misfortune has put him in a position outside of any cultural frame of reference, a position of pure nihilism, of ultimate reflection. If only the Iyi clanspeople could understand him, but unfortunately they are still trapped in the arbitrary beliefs and empty pride that is the Samurai code."
De dag waarop de aarde stilstond,1951,Robert Wise,3.0,2022-03-13,"Incredible feat for a 1951 film. The core idea is very solid, and the deeper message for all humanity has been conveyed through the fourth wall. I didn't care much for the drama side of the film, with its hints of romance. Also, I found myself -unusually so- annoyed at sloppy details regarding the disabling of electricity. There's lots to love, but I feel 50s Hollywood has held back the potential of this film."
Ontleding van een moord,1959,Otto Preminger,4.0,2022-05-10,"Who would ever have thought I'd almost cheer for a lawyer who deploys sleezy tricks and rhetoric. Perhaps had I known it'd be James Stewart, it would've been different. I loved the slow pace and realism, where every last detail seemed thought of. Well executed film that is interesting from start to end."
M,1931,Fritz Lang,5.0,2023-01-17,"An absolute masterpiece. It's truly amazing how progressive this film is. It could honestly almost pass for a (great) film from the 60s, if not 70s. Its plot is clever and creative, and the film really captivates you. The use of camera and photography is stunning, and the genre a brilliant mix of moral tale and inventive crime. To top it off, there's atruly climactic and brave ending. Wonderful film."
De onzichtbare man,1933,James Whale,3.0,2022-03-07,"I'm a big fan of H.G. Wells and I was a little skeptical to see how this film would represent his book. Gladly, it was the great James Whale who took on the job, and he accomplished it very nicely. To think that this was done in the 30s is very impressive. I really wish the romance part in these films wasn't so emphasized, but other than that this was a good film."
"Faster, Pussycat! Kill! Kill!",1965,Russ Meyer,3.0,2022-03-07,"This film has that cult quality where cheap ingredients somehow yield a great dish. It's hard to explain and quite surprising, but ultimately this manages to be fun, over-the-top enjoyable and it even has a good story arch. As in: I didn't get bored with it as I often do with some parts in cult films. All in all really enjoyable, but let's not get carried away either."
Dead Times,1964,René Laloux,4.0,2022-02-26,"Everything by Laloux is great, but I didn't see this cynical, (potentially unintentionally) comical, misanthropic side of his yet. The drawing is amazing as always, and the theme unusually (for him) realistic and dreadful. A great 10 minutes in my life."
