Title,Year,Directors,Rating,WatchedDate,Review
Rust and Bone,2012,Jacques Audiard,5.0,2024-05-27,"Such realism and coherence in a film that is so eclectic at the same time, alternating between -among other facets- dry, genuine dramatic events and slow, aesthetic visuals and dreamy sequences of reminiscence. Then there's the ambiguous love story of an agressive asshole who's also an amazingly considerate human being and a woman who struggles with the loss of her legs. And the kid on the ice scene? Wow. Loved it!"
Citizenfour,2014,Laura Poitras,4.0,2025-03-06,"Snowden's revelations concerning citizen privacy may start to become common knowledge by now, but actually seeing the process of his emergence documentend in this film adds an entire new dimension to the story. His just personality, the strategy of not releasing all information at once but passing it on gradually through journalists, the media response and the effect on his personal life... It's just really amazing."
Deep Web: The Untold Story of Bitcoin and Silk Road,2015,Alex Winter,4.0,2019-10-25,"An informative documentary that sheds a different light on the otherwise so darkly portrayed Silk Road and its founder Ross Ulbricht, suggesting good intentions on his behalf to push back drug related crime and utilize the potential of an (extremely) free market. Although I can't be sure who tells the story right, it certainly is a sad one, likely unfair. Can we trust our government and legal system? I doubt it."
Cowspiracy: The Sustainability Secret,2014,"Kip Andersen,Keegan Kuhn",4.0,2016-01-23,"Very versatile, concise and informative documentary which tactically prioritizes the environment over animal treatment —which certainly gets attention too—, thereby emphasizing the absolutely important perspective to anyone. Many of the arguments and calculations are easy to follow, which contributes to the credibility and comprehensibility of this film. This film actually might have persuaded me to go vegan."
9,2009,Shane Acker,3.0,2026-01-29,"Great style with an incredible camera that creates a videogame-like experience. The concept of robot dolls carrying parts of a soul is neat. Two of them becoming romantically involved however is terribly cliche and wrong. Also, once souls are freed from The Machine they fly off to the sky? Please. Still, The Machine is amazing, especially in the 'Somewhere over the rainbow' scene which is exceptionally beautiful."
Coraline,2009,Henry Selick,3.0,2016-01-17,"An adorable film that teaches children the grass is always greener on the other side, and it does this in a very creative and appealing way. The stop-motion style is beautiful and there are some really interesting, absurd, almost avant-garde scenes, like the circus performances and the garden. Loved the button-for-eyes detail and its subtle hint of darkness. Good film!"
Terms and Conditions May Apply,2013,Cullen Hoback,4.0,2019-01-24,"A wake-up call for those —myself included— who think they've got nothing to hide. This documentary explains how profiling by big data companies is used by governmental agencies and what consequences this has both potentially and currently. The stories about individuals who were flagged as suspicious really made an impression on me. Our freedom of speech is at stake, so best get informed and take action."
Chappie,2015,Neill Blomkamp,2.0,2015-12-18,"From a cult perspective this film is quite okay. This accounts for the typical 'tough guy turns lovable' and 'evil good guy' cliches, and also for some of the ridiculous humor, which then makes sense at times. Chappie is a very nice looking robot and the idea of transferring consciousness is an interesting sci-fi classic. It was a fun watch. Fun detail by the way: all of the computers seem to be running on Linux."
Inside Llewyn Davis,2013,"Joel Coen,Ethan Coen",3.0,2015-11-08,"I loved the color palette and the dull, depressed feel throughout the film. The mysterious car trip and dark humor involving John Goodman was the highlight for me. In general I felt like lots of symbolic meaning went straight over my head. After reading more about the film some pieces of the puzzle started to fit though. Not a very big fan of much symbolism, but this film kept it within bounds. Overall I liked it."
Wild Strawberries,1957,Ingmar Bergman,4.0,2024-12-03,"We get to live the life of the old prof. Borg, who suffers from an existential crisis when he's awarded for his achievements. He's troubled with nostalgic, dreams of his younger years, which has a really immersive effect. Furthermore his benignity is challenged by his daughter-in-law —who happens to travel along in this roadtrip-like journey— leading to an interesting discovery of who he really is. Beautiful film."
The Lobster,2015,Yorgos Lanthimos,3.0,2019-01-24,"Our conception of love is ridiculed and honored at the same time in this absurdistic exploration. The cynicism is layered and funny, and the surrealistic touch together with the great photography and soundtrack constitutes a very nice atmosphere. Towards the end it becomes a bit uninspired though, and something about the whole feels a bit unpolished, suggesting Lanthimos's style might still be maturing. Very nice."
Pauline at the Beach,1983,Éric Rohmer,4.0,2015-10-21,"The characters and social-emotional interactions between them are Rohmer-worthy, yet this film pulls off to be a lot less dry than most of his films, making it accessible to many people who get bored by Rohmer's otherwise plain, slow, plot-light style. The topic of what makes people attract each other romantically is unusually exposed and universally interesting, and the plot develops well. One of Rohmer's best."
A Good Marriage,1982,Éric Rohmer,3.0,2021-03-06,"What a performance by Béatrice Romand! Sabine is that real-life character that both annoys and fascinates you. She acts infantile and playful in a ridiculous fashion, but somehow it suits her and actually makes her genuinely attractive. Rohmer's talent to create enthralling films with barely any significant plot keeps on amazing me."
The Tale of the Princess Kaguya,2013,Isao Takahata,3.0,2021-03-13,"With a folklore feel truly unseen before this film enchants you with its authentic and minimal style. Its brushy art-style, folky music and dominant nostalgic desire for a simple life in accordance with nature embracing both the good and the bad: all of this constitutes a harmonious, consistent style. It seems less accessible than most Ghibli films, so it might be suited for melancholic anime lovers only."
Green Street Hooligans,2005,Lexi Alexander,1.0,2021-03-03,"An Ivy League student that turns to hooliganism this passionately? Uncredible. Furthermore the film tends to glorify hooligans in a way, the 'we are brothers and have each others back' angle. Unnecessary since it's childish and ridiculous. Cliche characters and over-the-top produced violence. There's basically nothing in here."
Dheepan,2015,Jacques Audiard,4.0,2019-01-24,"Unlike many other arthouse films, this film is more than just a story and play on sentiment. There is emotional complexity that makes you hate, then understand, feel sorry, but at any rate makes you feel. But the story certainly develops interestingly too, up to the point where Dheepan loses it and goes berserk. The atmosphere and cinematography here is incredible: you can live his panic right through the screen."
Charles Mingus: Triumph of the Underdog,1998,Don McGlynn,3.0,2015-08-20,"The documentary is a bit dry, but that does also account for the genuine feel to it. It gives an interesting peak into the life of this wonderful artist, including interview material and cuts from concerts. Recommended for those interested in Mingus, however it might not be suited for initiating newcomers to his music."
De vreemdeling zonder naam,1973,Clint Eastwood,3.0,2019-07-26,"Starring Clint as a cynical, egotistical asshole, this movie is creatively cruel with the right amount of absurdity to make it funny. I like that the entire city is treated like shit, except for the town midget and Indians. I like how he eventually turns out to be no bigger asshole than the town's inhabitants. My only dislike was of the spiritual overtone with the beaten-to-death sheriff which is just plain stupid."
Songs from the Second Floor,2000,Roy Andersson,4.0,2015-07-05,"Absurdly humorous and still full of subliminal, symbolic critiques, particularly of the socio-economic status quo. Presented in an emphatically theatrical style with gorgeous shots, this film certainly is oddly authentic: nothing really compares to it. Comic exaggeration of little bizarre incidents, weirdly repetitive poetic utterings, and silences and settings that cause a Kafka-like alienation. Wonderful film."
Leviathan,2014,Andrey Zvyagintsev,4.0,2019-01-24,"While initially suggesting a pretty straightforward plot, it gradually moves away from this focal point to exhibit what I consider the central concept of the film, the concept of power, in several forms, including masculinity, beauty, politics and religion. The dark production is beautiful and the acting is realistic and appealing, even though at times the stereotypical drinking and smoking is a bit much. Good film!"
Melancholia,2011,Lars von Trier,3.0,2015-05-07,"The first part felt like an okay but dime a dozen Dogma 95 film. The second part is simply brilliant. Overwhelming both visually and auditively on account of the growing circle and omnipresent roaring. In a unique way people are shown trying to cope with this unexpected immense event. I disliked some of the cheap shocking and bizarre Kirsten Dunst scenes though, nor did I feel much for the mystical layer. Good film!"
Henry: Portrait of a Serial Killer,1986,John McNaughton,2.0,2015-04-14,"This is one of those films that has an authentic atmosphere enforced on it due to a low budget. Some of the shooting is nicely done, and I quite enjoyed the soundtrack at times too. It's very disturbing, but somehow not such that you're tempted to turn it off all the time. Henry is an appealing -but insane!- protagonist, Otis is the disgusting hanger-on. If you're in the mood for something sick, this is quite nice."
The Aviator's Wife,1981,Éric Rohmer,4.0,2024-01-26,"Again and again Rohmer sheds light on the ambiguous nature of romantic relationships, each time with renewed creativity. The arguments and emotional dynamic between François and Anne is recognizable to many, and in a subtle way Rohmer makes you chuckle at the ridiculousness of it all. Then there's Lucie and her adventurous spontaneity, which really adds an extra dimension to this film. It's deep but witty. Very nice!"
"Synecdoche, New York",2008,Charlie Kaufman,3.0,2019-01-24,"Even though the trick feels old, it's executed nicely. As usual P.S. Hoffman plays a very credible, neurotic loser, who greatly supports the psychotic, insane atmosphere of the film. I really enjoyed the bizarre humor and the eerie feeling throughout the film. Afterwards I caught myself trying to figure the film out rather than to dispose of it as cheap trickery. Once again this emphasizes the film's quality."
Sharknado,2013,Anthony C. Ferrante,1.0,2015-03-05,Just as bad as part two which I watched first -I'm sure that didn't matter- but this one seems to try a little harder as if it takes itself even only slightly seriously. That hurt.
Sharknado 2: The Second One,2014,Anthony C. Ferrante,1.0,2015-03-05,"I really wanted to give it two stars because it certainly did enjoy me, but it simply wouldn't be fair towards the actual two star rated films. Horrible in all possible ways, but certainly ridiculous enough for some superficial laughs."
Forbidden Planet,1956,Fred M. Wilcox,3.0,2015-02-27,"Visit your local library and pick up some physics books from which to quote randomly. Then, ask your handy uncle Tom to help you build a robot. Realise you're living in the 50s and cast an unnecessary, innocent but sexy girl who serves perfectly for innuendo, unbounded by the laws of decency. This is probably how the charming but ridiculous Forbidden Planet came to be. Great laughs though, and charmingly handmade!"
Selma,2014,Ava DuVernay,2.0,2019-01-24,"Even though I was mainly disappointed by the formulas guiding me to have specific emotions at certain times, particularly by the use of sentimental music, there were some moments that really moved me and made me profoundly realise the potential power of political activism. It's just a very inspirational story with great historical significance, which makes up for the relatively boring and bad cinematic value."
Woyzeck,1979,Werner Herzog,3.0,2015-02-13,"In this great parody of life things like status and scientific overvaluation are ridiculed dryly. I laughed out loud at the fanfares playing awfully dissonant with the mooing of cattle right through it. Then there's the absurd character of Woyzeck, sometimes funny, sometimes compelling. In some way the film makes little sense, but it's so charming and appealing. Loved the end of the film, and what a charming town!"
De mummie,1932,Karl Freund,1.0,2015-02-07,"Historically interesting early entertainment work, but not my kind at all. I disliked just about everything, except perhaps for the awakening of Inhotep. I've seen much more interesting films from this era, which weren't as poorly directed too."
Rode woestijn,1964,Michelangelo Antonioni,5.0,2015-02-05,"As Giuliana meanders through the heavily industrial setting as well as through her life, feeling anxious, absentminded and disconnected, we experience this with her. No scene is completely deprived of this sense of alienation and growing insanity, not even the very humorous one on the bed. Perfect photography with eerie minimal electronic music to create just the right atmosphere. This is a masterpiece."
Watchmen,2009,Zack Snyder,1.0,2015-02-02,"This film filled 215 minutes trying to combine philosophical depth with cheap sensationalism and action. I mean, that's like trying to unite left and right wing politics. Infantile dress-ups, weird character developments and assessments and clichéd Hollywood formulas all over. If only everything wasn't done so ridiculously awful, I might have respected the darkness and ethical ambiguity. So all in all, horrible."
Night Moves,2013,Kelly Reichardt,4.0,2025-12-17,"What I loved is those few seemingly meaningless shots of random people doing everyday stuff. These make you experience so vividly the distance between Josh and his ideals and the average Joe, and also understand him better. His realistically paranoid, odd behavior contributes to this, as does the slow pace, gloomy atmosphere and great photography. Its grand message is told not in words, but by inducing an experience."
Whiplash,2014,Damien Chazelle,4.0,2015-01-31,"What starts out as a rather predictable drama about a ruthless teacher wracking a timid pupil turns out to be a peek in the minds of those obessively persuing greatness. Andrew's puzzling emotional development eventually becomes clear: he and Fletcher are alike, desiring be great at any cost. A true ode to genuine jazz music, ending with an incredible drum performance. I bet the girl wished she went to the concert!"
Goodbye to Language,2014,Jean-Luc Godard,2.0,2019-01-24,"Usually I like his way of experimenting, but the way 3D is raped here feels unnecessary and annoying. Granted though, it being Godard, he kind of had to do it. Much of it feels like a generic instance of his style, with the hit and miss poetry and absurd symbolic events. However, I liked the trippy colorings, loved the dog and also his purpose in the main philosophical point of the film, which really appealed to me."
Liefde en-gros,1933,Ernst Lubitsch,3.0,2020-01-12,"A tale of platonic love and art versus carnal desire and lust, revolving around Gilda, the mother of the arts, the heart of the love triangle. Although the plot seems rather superficial, it is very well written, including witty dialogues and clever symbolism. I am usually no fan of theatrical exaggerations, but here it's done so consistent and well that I was able to embrace it. A very charming and mature film."
Birdman,2014,Alejandro González Iñárritu,3.0,2019-01-24,"On the one hand it's yet another allegory for an existential crisis of a celebrity, on the other it certainly has a refreshing style. It's jazzy, goofy and theatrical, but it didn't always work for me. Sometimes it's simply too exaggerated or on the nose, especially Edward Norton annoyed me at times. Also, I think the film should've ended earlier. Still, a great performance by Keaton and a nice satirical movie."
Breaking the Waves,1996,Lars von Trier,5.0,2019-04-02,"Wow. I have not been this emotionally wrecked by a movie in a long time. Such emotional complexity and depth involving feelings of guilt, faith and inferiority with a touch of sexual absurdity. Bess is an amazingly fascinating person, such marvellous acting by Emily Watson! She really moved me. Strongly preferring Von Trier's older films, I deem this his best."
Clouds of Sils Maria,2014,Olivier Assayas,3.0,2019-06-24,"During the first part the discussions about the play and acting struck me as a bit pretentious and tedious. Particularly the actress-persona parallell seemed cheap. As the film progresses though, the parallell becomes more profound and Maria's midlife crisis becomes credible and interesting. And such great chemistry between Binoche and Stewart! Ultimately though, I think the film lacks constancy of quality and style."
Ida,2013,Paweł Pawlikowski,4.0,2026-01-20,"This film cleverly wraps an inquiry into an Apollonian (Ida) and Dionysian (Wanda) lifestyle in a moving, modest adventure of post-war family drama, and does so quite impartially. Furthermore, it has a clean cinematic style with the most beautiful photography I've seen in a long time. Good on all levels, with an ending that suits it well, this is a lovely film."
Madeliefjes,1966,Věra Chytilová,3.0,2015-01-14,"Two spoilt, flirtatious girls acting randomly at the expense of others, who don't understand love -their excessive meat-eating may symbolize carnal desire- and doubt their existence when not acknowledged by others. Full of criticizing allegories and symbolism, this piece of visually creative eyecandy leaves room for lots of interpretation. A bit too random and infantile for me at times, I certainly enjoyed this film."
Only Lovers Left Alive,2013,Jim Jarmusch,3.0,2019-01-24,"An interesting, fresh exploration of the struggle of vampires in the 21st century, coping with existential and moral problems as well as with survival in the first place. Although I disliked the theatrical, goofy acting and conversing, and the exaggerated historic involvement also, I simply adored the style of this film. Such a dreamy, playful atmosphere, formed by enchanting music and creative assemblage of images."
Amour,2012,Michael Haneke,4.0,2019-01-24,"When nothing else is left, there's still love. A realistic drama about growing old cruelly, in which we see the Haneke-typical subtle grimness, yet with a notable touch of positivity  constituted by Georges. His unconditional love is admirable, his final deed for Anne heroic. The nonmoving camera, silence and dusty but elegant photography make up a minimal, coherent style that aids the film well in its moral purpose."
Cave of Forgotten Dreams,2010,Werner Herzog,2.0,2015-01-05,"The ancient rock art is beautiful and really induces a feeling of awe and wonder: how much are we alike and how do we differ from these early men? I did find the documentary a bit messy though. Sometimes it bored me and was difficult to follow, as if intented for specialists. The 3D was very nice at times, but mostly it annoyed me, causing my attention span to drop. Still, those wall paintings are intensely touching."
The Salt of the Earth,2014,"Wim Wenders,Juliano Ribeiro Salgado",4.0,2015-01-04,"Lovely portrait of philantropist photographer Salgado's compelling life and photography. Traveling the world he captures the most terrific circumstances, demonstrating mankind's cruel nature. It's beautiful to see him increasingly focus on nature and animals later on though while keeping his otherworldly, moving style. An exemplary human being conveying the film's optimistic message: it's not too late for our planet."
The Seventh Seal,1957,Ingmar Bergman,3.0,2020-06-30,"Beautiful depiction of people's fear and despair regarding the Black Death. I particularly like the knight who wants tangible evidence for his faith and plays chess with Death. I didn't care much for many of the humorous parts though, which interrupted the darkly poetic intensity every now and then. Also, I particularly disliked Jof perceiving the chess game, which mixed the real and the mystical in an ugly way."
Before Sunrise,1995,Richard Linklater,5.0,2023-02-15,"Before Sunrise has captured the spirit of the perfect first date -given you are a philosophical slacker- without losing credibility. No person but Linklater could have done this, him being the true slacker representative who's capable of devising such authentic and interesting philosophical dialogues. I had an intense experience watching this, as if it were part of my own life. It is the ultimate slacker-romance."
Land of Silence and Darkness,1971,Werner Herzog,4.0,2014-12-23,"Very touching and slightly depressing documentary about deaf-blind people which makes you realize the value of your precious senses. No fancy production, but raw, slow-paced realistic filming that shows the spleenful lives of those with no hearing and sight. Their struggle, isolation, otherworldly perception and dependency on training to at least communicate by sign language based on touch is extraordinary. Awesome."
Chronicle of a Summer,1961,"Edgar Morin,Jean Rouch",3.0,2014-12-23,"At first the film feels like a slightly generic, amusing documentary, but after some time it grows on you. The conversations on what were then actual social-political issues are interesting, and -more importantly- very real. Ultimately, the film seems an accurate depiction of the spirit of the age. The conclusive discussion at the end in which the interviewees take part adds to the feeling of authenticity. Neat!"
De grote stilte,1963,Ingmar Bergman,5.0,2019-04-06,"Strikes me as an unusual film in Bergman's oeuvre, but also as one of his best. Often his focus is a bit one-dimensional, on emotional interaction and character. This film adds to this a bizarre, humorous perspective -through the eyes of the young, confused Johan- vulgar eroticism and on top of that it uses the inadequate understanding of people speaking different languages in several strong ways. Great!"
Futurama: Into the Wild Green Yonder,2009,Peter Avanzino,2.0,2014-12-17,"Has some very humorous parts in it, but overall it doesn't make much sense. Above all, the ending is horrible."
Boyhood,2014,Richard Linklater,5.0,2014-12-15,"Showing barely any spectacular events, but mostly the moments in between with which life is abundantly filled, this film succeeds to capture the ghost of everyday life. Thanks to the twelve years of filming there's an undisputable natural progression of the actors that undeniably has as natural an influence on their character. This gives way for a genuine emotional involvement for the watcher. A unique masterpiece."
Futurama: Bender's Game,2008,Dwayne Carey-Hill,4.0,2014-12-15,"Not everyone seems to enjoy it, but I think it really lives up to the Futurama vibe of the series. This may be because it's very geeky, revolving around about Dungeons & Dragons to mock it friendly in a tongue-in-cheek way, while also using it as means to create a romantic, alternative fantasy universe in which Planet Express plays a very humorous role. Finally, the intro film of this movie is amazing. Nice film!"
Futurama: The Beast with a Billion Backs,2008,Peter Avanzino,2.0,2014-12-15,"Although it has its qualities, including the beautifully drawn 'tentacled' planet Earth and witty humor, it lacks the warmth that is typical to Futurama and it's slightly too weird and over-the-top I guess. It's still okay, though not really good."
Futurama: Bender's Big Score,2007,Dwayne Carey-Hill,3.0,2014-12-13,"Great puns and high level comedy as one can expect from Futurama. It's a tad sentimental and arguably overly complicated, though also very ingenious and intelligent. In the end, it delivered."
Winter Light,1963,Ingmar Bergman,4.0,2023-03-28,"The Bible and its teachings offer a nice romantic philosophy, but where is God in desperate times, when you really need him? Pastor Ericsson does not understand 'this silence of God' and renounces his faith. An honest depiction of a clergyman who could no longer take shelter behind fictitious stories and has to face his sinister life. Put together meticulously; certainly no short-sighted attack on Christianity."
The Kid with a Bike,2011,"Jean-Pierre Dardenne,Luc Dardenne",4.0,2014-12-12,"Even though Cyril's going through a very rough patch, you can't help but feel annoyed or mad at him at times. Especially when he got really mischievous I gave up hope on him. But in a brilliant, natural way it was revealed to me that all was part of the process of grief, including seeing a father figure in the dealer guy. Samantha's love is inspiring, supporting this to be a comparatively optimistic Dardenne film."
The Son,2002,"Jean-Pierre Dardenne,Luc Dardenne",4.0,2014-12-11,"Any rock processed in the Dardenne factory both keeps its roughness and shines like a diamond. Art house cinema the way it's supposed to be: without the pretentions, full of story and reality."
Under the Skin,2013,Jonathan Glazer,3.0,2014-12-16,"Even though I loved the atmosphere and Scarlett's acting, I felt misguided mostly. Often I felt  inclined to put pieces of information together and failed to do so, because of which some actions and scenes felt random and insignificant. As a consequence my focus on experiencing the great vibe dropped, especially the poetic parts put me off because of this. Not sure who's to blame, but I feel disappointed either way."
Rosetta,1999,"Jean-Pierre Dardenne,Luc Dardenne",4.0,2019-01-24,"In the harshest of circumstances it's difficult to discern between the heroic and the cruel, since then they go hand in hand. Rosetta demonstrates this, being an admirable survivor but also a deceitful friend. Poor, forsaken Rosetta is totally wrecked emotionally. Realistically acted and painful to watch. Superb film that simply breaks your heart, with an ending that might keep it close to it for some time."
The Public Enemy,1931,William A. Wellman,2.0,2014-12-10,"Lots of gangster Pre-Code film are alike, but some are carried by protagonists with character. I like James Cagney as goofy and downright -which I why I love him in ""The Picture Snatcher"" for example- not as the big shot he's here. Furthermore, this film is a nice historical depiction of the Prohibition and has a very funny ending, but it's just a bit too plain and there's too much insignificant stuff going on."
Little Caesar,1931,Mervyn LeRoy,3.0,2014-12-10,"A movie very typical for its time that distinguishes itself slightly -in the same way Scarface does- by a great protagonist. Edward G. Robinson portrays a credible and enthralling gangster, which takes the film to another level. Still I got the feeling I've seen most of this before, so it's good, but not great. LeRoy's later ""I am a Fugitive From a Chain Gang"" struck me as far more authentic."
The New World,2005,Terrence Malick,5.0,2014-12-10,"An epic adventure film colored in with the Malick's trademark dreamy and poetic touch, though less extreme and more coherent and concrete than usual in my opinion. With appealing veracity, grand photography and music it explores humanity and nature in a way that works on the heart and senses rather than on the brain. It makes you genuinely wonder about life in the most profound sense. It was a great experience."
Nostalghia,1983,Andrei Tarkovsky,4.0,2019-01-24,"A personal philosophical inquiry steeped in Tarkovsky's awesome, mystical style in which, among other things, the thin boundaries between madness, brilliance and faith are explored. The poetic approach might take getting used to but your patience will pay off. The slow pace also allows you to thoroughly digest the beautiful photography. Great film."
The General,1926,"Buster Keaton,Clyde Bruckman",3.0,2015-02-02,"In short it consists of impressive photography, a tranquil soundtrack that reminds of Murnau and ingenious, comic use of trains in all sorts of ways. I simply loved the canon! Not as humorous as Sherlock Jr. in my opinion, but certainly the more matured movie of the two."
La promesse,1996,"Jean-Pierre Dardenne,Luc Dardenne",4.0,2019-01-24,"Minimalist realism, with nothing superficial added for dramatic effect, relying entirely on the ethically bleak situations and the amazingly enacted personas. A touching story full of dilemmas in which little is black and white. This film goes as deep as films ought to go, I honestly feel guilty not giving this five stars."
George Washington,2000,David Gordon Green,3.0,2014-12-07,"An interesting story from the life of young oddball George, showing his clearly congenital heroism. The production is great: well-done camera work, nicely edited colors and above all a great soundtrack that defines most of the unique atmosphere in the film that's composed of realism and mysticism. Notable scenes are the painful bathroom scene and those at the end where George runs around in his hero suit. Good stuff."
Whisper of the Heart,1995,Yoshifumi Kondô,2.0,2015-01-13,"Sentimental, but sufficiently realistic, especially the dialogues. Very beautifully drawn and neatly chosen wonderful sceneries. The coming-of-age like theme works its magic nicely as well. Shizuku's authenticity feels real and was capable of affecting me. I'm not very fond of the main role of the cheesy ""Take Me Home, Country Roads"" song, although I did like the scene in which they play it themselves. A good film!"
The Umbrellas of Cherbourg,1964,Jacques Demy,3.0,2014-12-09,"Stylized by dominant use of primary colors, pleasant camera work and a moving (mostly) jazzy score, this lightly experimental musical film actually made a nice impression. Usually I despise the genre, but Demy has a touch that -despite the use of lots of candlelight romance clichés- worked for me. Stuff like the portrait-shot scene transitions, high zoom level and beautiful main song show it's very well directed."
The Longest Yard,2005,Peter Segal,2.0,2014-11-12,"Fun to watch with the family, even though it's mostly a big cliche."
V for Vendetta,2005,James McTeigue,4.0,2014-11-26,"This film covers a lot of interesting topics in a single story. Inhumane leaders and projects that remind of WWII, yet with fear-driven Christianity and controlled media mixed in. Simultaneously, it's a comic based, well done action film. A bit sentimental and cheap sometimes, but a nice watch!"
Cosmopolis,2012,David Cronenberg,2.0,2015-01-13,"An exploration of contemporary capitalism and how it influences our humanity. The very rich Packer nearly lives in his secured limo, has lots of meaningless sex and is obsessively trying to 'figure out the yuan'. His boundless craving for more really makes him appear android-like. I like the typical Cronenberg pseudo-realistic absurd style, however the 'cool' manner of speech and some dialogues really annoyed me."
Baby Face,1933,Alfred E. Green,2.0,2015-01-13,"It seems at first that whoring to achieve something rather than nothing is a good idea. Inspired by the will-to-power theory of Nietzsche, Lily climbs up all the way to the top. Here she suddenly starts to love someone, viz the first man who was able to outsmart her. Does love -despite Lily's materialistic urges- conquer all? I find much of the film to be too transparent and cliche, however Stanwyck acts greatly."
The Bitter Tea of General Yen,1933,Frank Capra,4.0,2019-01-24,"One of the most open minded Pre-Code films I've seen, in which the oriental culture is not solely ridiculed, but also given a chance to show its worth compared to Christianity. The weird dreams Megan has of Yen makes it no ordinary romance too, but a rather vulgar and unclear one. Full of practical philosophical depth and interesting characters like Jones, making this a beautiful story in a relatively unbiased way."
Shanghai Express,1932,Josef von Sternberg,3.0,2015-01-19,"A cryptic love story between the mysterious and attractive outcast Shanghai Lily and her ex-lover dr. Harvey wrapped in an interesting adventure starring a train in the Chinese civil war. Some of the humor, mostly coming from Sam Salt, seems to rely on stereotyping the Chinese as an inferior and weird people, which reminds you of the fact you're watching a Pre-Code film. Fun to watch. With great acting by Dietrich."
Three Colors: Red,1994,Krzysztof Kieślowski,4.0,2025-10-04,"Shot using beautiful lighting and good narrating camera work, the film explores freedom by showing telephone tapping (privacy), the judge (sentencing) and human relationships (emotional freedom). It also centers friendship, starting with the touching encounter with Rita, followed by the gradual befriending of Pierrot. Some stuff I didn't get and seemed too symbolic and coincidental for my taste, but it's a good film."
Ik ben een vluchteling,1932,Mervyn LeRoy,5.0,2022-11-06,"A beautiful existential adventure of a man constantly in bad luck striving for the American Dream, who finds himself wronged by the legal system time after time. He takes matters into own hands and escapes from prison, turning him into a lovable hero. He then resumes his ambitions and becomes an honorable citizen, but his goodwill turns against him again. Great acting, wonderfully filmed and very depressing. Classic."
Frisco Jenny,1932,William A. Wellman,3.0,2014-10-14,"After losing everything, Jenny lives to provide for her son. She is kind of a tragic hero, and I find it intriguing to see a woman have this role, considering this is a 30s movie! However, she's a mother first and a survivor second. Being able only to love remotely, she is certainly proficient in showing that love. Especially the ending shows a beautiful commitment only motherly love could offer. A pleasant watch!"
Sunshine,2007,Danny Boyle,3.0,2015-01-13,"Produced it seems in two distinct styles: one serene and peaceful, the other sinister and abstract,  reminding of Event Horizon. Both styles are executed very nicely, however the mixing of both sometimes stands in the way of a coherent experience. Still, it's an amazing production with perhaps some sentimentality every now and then, but a great and grand adventure overall, leaving you with a feeling of astonishment."
Picture Snatcher,1933,Lloyd Bacon,3.0,2014-10-12,"An original idea for a film and James Cagney gives it form perfectly. While progressing from crime into a legitimate job, he really remains the boyish, sneaky (but perhaps goodhearthed) hoodlum he used to be. The film is full of oddities like the sleezy, immoral 'Graphic News', Cagney chasing a schoolgirl, people shooting recklessly, but most of all the incredible newspaper men chase at the end. Good stuff!"
The Beast of the City,1932,Charles Brabin,4.0,2025-05-08,"A masculine battle between cops and gangsters, who are in this film regarded as similars: reckless and caring little for justice and society. And very stylefully filmed too. Beautifully composed photography and extensive use of clever angles and slow movement of the camera to support the storytelling. It finishes off with an interesting, musical-like epic battle that emphasizes the ironic nature of the film."
Manhattan Melodrama,1934,W.S. Van Dyke,4.0,2014-10-10,"An interesting tale of friendship and ethics, while having a peek in the interesting 30s of the USA. Starting out rather clumsy, I think the movie progresses very neatly. Two friends are on different sides of the law, by which the moral value of acting by principles or by means of friendship are explored. It's actually hard to decide whether the good is one is the bad one, or the other way round."
Madam Satan,1930,Cecil B. DeMille,2.0,2015-01-13,"Not sure if all of the ridiculousness is intended, but this is some bizarre and banal comedy. Typical DeMille: carefully done sensational stuff -like the beautiful costumes on the party- serving immediate entertainment value, combined with dry and witty humor. It's very cynical, thereby challenging, mocking cultural values. There's something admirable about DeMille's ironic style that triumphs over the cheap style."
Footlight Parade,1933,"Lloyd Bacon,Busby Berkeley",3.0,2014-10-15,"Being no fan of musicals or cool American businessmen, I really had a tough time getting into this film. It contains some horrible humor and annoying acting, but once you accept that, the film is actually quite creative. Especially the two shows at the end are very nice. ""By a waterfall"" features a beautiful, timeless piece of choreography, followed by the bizarre and innuendo filled ""Honeymoon Hotel""."
Cleopatra,1934,Cecil B. DeMille,2.0,2015-01-13,"An apt portrayal of who was perhaps history's earliest femme fatale. DeMille's typical grand style makes you gaze with amazement at this epos. Dancers, beatings, romance, all of which seems cheap, but there's more underneath the surface to contemplate about: is this power craving seductress evil? What can be said of this love she feels for Antony? Don't let the deceptively cheap style of the film cloud your judgment."
The Sign of the Cross,1932,Cecil B. DeMille,3.0,2023-04-30,"A well-told story of the rise of Christianity in the Roman empire. It shows beautifully the contrast between the hedonistic, self-centered Romans and the virtuous, peaceful Christians. The central example is shown through the concept of love. Marcus' love for Marcia seems little more than selfish, carnal desire, whereas her love for her faith seems to transcends that. And stylish too. This is really good."
Three Colors: White,1994,Krzysztof Kieślowski,3.0,2014-10-07,"After going through a tough divorce we see the tragic 'loser' Karol progress from the gutter to wealth, which appears to be the main storyline, yet we see more and more hints that suggest the significant story is about dealing with the divorce. He then tricks his ex-wife, continuing their love/hate battle. A comic drama about the fight for dominance in a relationship and its breakup. Oh, and Mikolaj is just great."
